sentiment,tweet
positive,Just woke up. Gonna have a shower and go to Nan`s for Mother`s day lunch. Happy Mother`s day
neutral,I`m going to open up PROVERBS and get as much wisdom as possible-I`m hungry!
negative," I had mailed  for something, you got the e-mail, I didn`t which should probly mean I won`t get it"
negative,Car-warmed Sprite tastes like sore throat
negative,Oh darn. Lost another follower.
positive,"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny"
positive, Thank you  x
neutral," that`s the prob, no idea how to meet guys. Met all my exs online & now I`ve dated that pool dry"
positive,Can you believe it:Tomorrow Night will be Jay Leno`s last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.
positive," Wooops! Meant I agree with Boomstone..trying 2 reply 2 both, LOL. Happy Mothers Day to you as well!  TTY soon!"
negative, nah. How it sucks to wear a suit and how the temp goes up 10 degrees when someone sits next to you
positive,  Thank you and Happy Mothers Day to your Mother also SNL tonight
negative, Aw poor you..ironing! Eek! lol It`s raining here too.....prob try and get out with the kids later..nt too exciting im afraid!
positive, Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!
positive," haven`t read that book, but heard of it. Feed, spay, love is a great motto for pet owners  although there is more involved"
positive, cup cakes are sooo yummy - but would have 2 have coffee chaser- u know where that can lead
negative,On my way to nottingham..I so don`t want to be going
neutral,taking mum to lunch for mothers day
neutral,Got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics!
positive," yeahh! i am very happy with my pendant, and hope to see you in future fairs. ps. good mini muffin"
negative,My stomach effing hurts. Sadly there`ll be no gym class this afternoon
negative,oh men..not in the mood  I`ll go home tomorrow..wanna be w/ my family..its my birthday
positive,"going out with my tita gi, sister and my beloved lola! Were going to treat her for dinner! Wohoo... So excited and hungry..."
neutral,Just going to shower. Brb in 10 mins or so
positive," good job at the logies this year. Hell funny, and you`re right about the baggin the logies tradition... so very Aussie!"
neutral,_xo oh and i know brody and erin
negative," I assume you mean 2nd item with 3 nested lines, but no invert call tree button to be found   ï¿½  ï¿½   ï¿½"
neutral,_Stokoe I bet! I can imagine how much work it is making a movie. I can`t wait to see it
negative,**** night. want john  where is he?
negative, i hate it
negative,Well school`s finally over and idk but I`m sad  I`ll miss my teachers. Goodbye Mrs R. and Mr. Collister
negative,is hating the weather. UGH.
positive,"So, I finally got my but on Twitter. Let`s hope I make good use of this site"
negative,Nobody likes to feel low priority.
positive,Saw the UCLA bookstore...now convinced that every single major university has a better bookstore than    Having fun so far!
positive," I will, n btw happy mothers day sissy"
negative,  I`m SO jealous! I don`t know when I`ll be able to see Conan.
neutral,Im had to leave early to go to piccolo practice.
positive, I know right  but hopefully something comes up though
positive,Happy Mother`s Day to all the moms out there! Special shout to my momma...Luv ya! And Pat....even though you`re a Jehovah`s Witness
negative,is sad yo hear about Ashleycat
negative,Early(ish) night tonight - I`m doing overtime at work tomorrow again  boo for working on a Saturday!
neutral," No, havent heard anything about the show   It hasnt been on on saturday nights, but there are the occasional sunday reruns."
neutral, Yep.
neutral, now that`s an imtetsting visual.
neutral,ping pong tomorrow
negative,"Alexxx Im gona miss you today. Im so sad, noooooooo"
negative," I`m sorry, Andrew. I wish there was something I could do..."
negative,"gonna get off to try and catch some Z`s, no more high school after tomorrow! which really sucks  i wish i didn`t have to grow up!"
positive, but yeah i like purple maybe thats why!! ;)  :p :d
negative,I feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help
negative,elliott claims steak and shake has been doing this for months...not exciting anymore...
negative,This already feels like one of those days where I just won`t be able to win.
neutral,"early morning~2:30 am~what`s up? I am!~~!!played w/ my babies outside~wow~was in the 80`s~felt great!~~got lonely, misses sissy and jess"
negative,"Already 26.1c in our office. Can people melt? We`re fighting for air con because fans just don`t help, but can`t find the budget"
negative, I am very angry at this information Marcos!!!!!!
positive, I have a great house to sell you!   Comes complete with a riding mower!!
positive,"alright, back from my twitter decompression  Happy monday folks, what`s the good word?"
negative, whyd u feel awful after last night?
neutral," Aye, May the 4th be with you"
negative,why does  never reply to mee  he must really hate me :l
negative,_78 I`m sowwy u have to work w/an idiot. I will call u if u want. Just to break up ur day.
negative,Hellooooooo... Whats the scene people !!!
positive,Kakabalik lang from Tarlac. Good aftie.
negative, **** i hope theyr all wrong we need him
positive," thks 4 the follow, and  tweets, i returned the love"
negative," nothing aimed at you, just joining in...sorry"
negative,Can`t sleep and nothings on tv!!
neutral,  I wish I had Left 4 Dead. But first I`d need something to play it on...
neutral,_w T`was not an interview in so much as it was a private chat
neutral,_truong sunbae* my bad jst scratch wht i said  im talking nonsense here.. lol!!! enjoy the perfs
neutral,"in school, wants to read Eclipse, 200-and-some-60 pages read"
negative,Back at home. At the moment Iï¿½m speaking to my aunt on the telephone and Darius is neighting in the backround... Miss my little horse
neutral,"_lisa ...one online? Yeah, me"
negative,: eww. dislike
negative,I sure do wish my mind could enter that box called 'nothing' that men have.  My brain just won`t go there... and it`s exhausting.
positive,done with the photo album  as im a good person so i make it quite private for now. pity you ben haha
positive,"Off to see the Tinyï¿½s, thinking thoughts about smiles I caught from the radio  and big daft grin all over my face...."
positive,"still playing wii fit LOL fun fun fun,, movies tonight ill upload photos i took today right now check next tweet"
negative," me too  no one even liked my answers to life last night, pshh"
negative,is feeling bad  just got bad news about my Mum
negative,"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become."
neutral, She has her perfect moments. She just broke one of the tiles on the floor in the hallway. I don`t find her very perfect now.
neutral," Err, I get that  Now, with the TimThumb, what`s with the url?"
negative,its my burfday and i`m all alone
negative,I would rather end up heart broken then have regret because i didnt take a chance
negative,"I need a friend right now  , I feel like mmmm ... sosad"
positive,The $500 I saved on not buying a couch is going towards paying my visit to ER for UTI
positive," #TFARP *takes a moment to translate, then nods* You`re quite welcome.  Also, dear, it`s probably best if you stay here again-"
neutral,"didnt enjoy having to say goodbye to alex, v emotional times  but the sun is making me happy !"
neutral,poor baby girl chloe is freaking out because of all of the noise!  She so cute and pitiful hiding under the middle of the table!
negative, nah the lights killed the mood now you got to get out my bed
neutral," sorry 2 hear albert isnt well? dont know whole story, so i`ll keep ya`ll both in my prayers. (((hugs))) 2 u both!"
negative,ugh! looks like it can rain any min now
neutral,"Tired, But glad its a bank holiday"
negative,I feel like... I`m not gonna make it this year
neutral, that`s such a long time from now
neutral," ISHRA!! haha, cassie ventura? ...not after her haircut! where were you yesterday during the beat music awards?"
neutral,Prank calls
negative,"Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q"
negative,sinus headaches suck big time!
positive,_UK Argh Twitter didnt post my replies and tweets for ages  Aint up to much just enjoying the sun!
neutral," i`ll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all"
neutral,_Mitchell i`ve never been to the opera before...don`t think that was me
positive,Through to quaterfinals of charity football tournament. My penalty save sent us through
negative,Made it to Wisconsin... Now off to Golden Corral again! dang! lol we missed the graduation! tho  Dang!
positive,I love Stereosound HQ headphones
positive, You`re welcome Tila!! I love you!! Wish I could have heard it
negative, a great song by East Clubbers
positive,"Not feeling very good at all, why does this have to happen today of all days? Not going to friends tonight"
negative,Loll whats boyfriend #2 supposed to mean then?  its to cold
negative,"I wonder if she knows how shallow, airy & dumb her tweets make her sound. I guess not b/c if she did...she`d probably stop"
neutral,Sucky day so far hope it gets better
neutral, ok that`s subtly saying i`m no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!
negative, http://twitpic.com/67uc7 - can you lend me one? I have a cold too
positive," {{{HUGS}}} Okay, just making sure!"
positive,"happy bank holiday monday twitter! bath time, spring clean, movie marathon , lazy day"
positive, sounds good!! Can`t wait
positive," I love the humor, I just reworded it. Like saying 'group therapy' instead`a 'gang banging'. Keeps my moms off my back.   Hahaha"
neutral,"Last Chemistry lesson for this school year!  On a brighter note, my birthday will be sandwiched between two days in chemistry lab!"
positive,Im really excited! cant wait
neutral,buy one of my shirts at http://www.districtlines.com/revertfashion you know you want to
positive, you really have to come to ireland some time! we love you over here <3
neutral,Massive morning.. I`m stuffed now
neutral, http://twitpic.com/66sbz - thats actually adorable! ooh how i miss dude
positive,Bout to go to bed... Happy Mother`s Day ladies .... especially all th 1s who takin care of thier kids alone..n I Love U Momma
positive, Thank you  I`d share my sundae with you but it`s really late and _crane says we shouldn`t tell people where we are
positive,i dont think i have ever laughed so hard
positive, haha. that`s awesome. good job
positive, womp womp woooomp!
positive,Sitting in Gatwick- going home for a week! cant wait to see family
negative, they`re at the bottom of the thing and aren`t moving at all. feels bad man.
positive, Thanks twilight... i know we love canon
positive,"Yeah, my brain does rock!  I am happy to share my knowledge with you Carrie"
positive, aww... my mom will appreciate it   Much the same to your familias! When do you leave for tour?
positive," nuuuuu, i totally love may, it`s the best for me cos i was born in may"
neutral, awwww i cried...makes me cry  i love joey!
positive,just finished baking some cinnamon rolls   soooo yummy!
negative,"ok my friend is about to dye my hair black scary i know, ill try to post some pics tonight if not tomorrow for ur verdict"
positive, Love that song! Happy Monday
positive, Thanks for the info
positive, thanks  lyxxx
negative,Oh why do I keep stumbling about deathfic WITHOUT WARNINGS. do not want
neutral," READY!!!!!  ... I`ve heard Bobo probobly 100 times , also BoboByeBye!!"
negative,working from home and ran out of coffee!
neutral, why r y depressed?  i mite b moving earlyer than i thot
positive,GOODNIGHT MAGIC AND PRETTY WORLD
positive,Yay - star trek really is 'that good'! happy to not be let down  gotta see it on imax now...
neutral,@ Butlers watching Dr. Farmer rock out w/ the hispanic Jimmy Hendrix ... drinking Cosmos
neutral,directing a theatre play
neutral,"_Lovato oh I see. Thanks for replying. anyway, how are you?"
neutral, thanks! I will try #boarding out
negative, thought u said twitter was **** bellion?
negative, You don`t reply to none of your fans ... I don`t know what trust
positive,Finally home  Gonna hit the hay n sleep till noon lol
neutral,which is why i can`t wait till i move out of home and life by myself next year  WACKY ADVENTURES EVERY DAY!!!!!
negative,UGH I missed the POTUS @ MY Five Guys!!!! 2 blocks from my house and 3 blocks from my job.  http://www.politico.com/politico44/
neutral,"why did I get airbrushed ****, if soon as i put my dress on it messed it up a little...eerrrr"
neutral,Recovering from a lovely but slightly stressful weekend in France
positive,that was a fun bacontaco night
neutral,Finishing up my last Friday at Olive Crest
negative,listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.
neutral, part 2: social networking??.. there is even room for people
neutral,Watching the Killers on JR. They are awesome. Too late though. They just cut the programme mid song. Twas my favourite too.
neutral,"Pictures of Cassie from the Crawfish Boil make me smile real big  Also, my desktop is still fail. Ultimate fail. It hates me."
positive,Ok I am going to sleep for real now good night twitter land
neutral, I really don`t want to send it over this site....it`s kinds private...
positive,"Good morning tweeps! Monday got here way too soon! Hope you are having a good one, at least as good as it can get for a Monday"
neutral," no, not yet  i have 3 weeks left!! :O do you have summer holidays now?"
neutral,Twitter connected with FAcebook   http://twitter.com/paynetsystems & http://tinyurl.com/dagmoq
neutral, I know!! Yayy
negative,Twitter won`t let me update online. My update box won`t work.
neutral,Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!
negative,"PINKPOP weekend & I`ve got NO tickets, meaning no BRUCE Springsteen  Oh well, it`s WWWWWEEEEEEEEEEEEEEEKKKKKEEEENNNNDDDD!!!!!"
positive, You`re welcome.
positive,http://twitpic.com/4j9fb - I really love this picture!
positive," I like tweetie better, that is what I use all the time"
positive,"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O"
positive,pool party at sherraton n brodi had  a blast! the friends made the evening bbqd at home with great conversation  funky n lifted day!!
negative,I miss nicc today.
negative,going to bed its late and I have headache
negative,Sephora is having a 75% off sale. And I`m so broke  Life isn`t fair.
negative,"Man, the French Open has been on for a week and I haven`t had the opportunity to catch a single match"
negative,Huffy is not having a good day night or life. Poor baby
positive, - SO.... yeah. I VERY much appreciate that.
negative,". No sun  but I can see the ocean now..I almost ran over a squirrel driving home from the store, was so foggy! Where r you?"
positive,"@_anh Hmm, tasty!  Going to have curry rice with peas probably. ;)"
positive," I don`t say it, I KNOW it.  Because I`m just good like that"
neutral, i noticed that you were on the same hallway....****   No worries about the BBQ....I`m hoping there will be more to come!!!
positive,"'Its a calander.'Calendar!' COLLANDER!' Bahaha, That part was hilarious, of course, the whole thing was hilarious"
neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
neutral, hey free
neutral,So it`s Friday... I have to keep reminding myself since every day seems the same
neutral, I`m at work
neutral, if u can smell goodness all around you and energy of big city and pinch on butt feel real YES u are in Chicago
positive,loves her some worship papers. and had a fantastic day. the Lord is good. and constantly surprises me.
neutral, As long as you take me with you
neutral, wweeeeooo! snl soon
positive, Happy birthday!
positive, enjoy!!!  have a good day. don`t forget to twitpic ****
neutral, Cause I`m not hearing from you guys!!!
negative,ok nevermind. photo was set to private. sorry.
positive,"Headache is gone,thank god!Time for tea i think"
neutral,ConGrats to all Graduates! Such a Beautiful thing & Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!
positive,Happy nurses week! It`s our first one as rn`s
positive,Coffee in hand and sun shining in my window.  Hope everyone`s having a great Monday morning so far! #monday - MR
neutral," I would LOVE to learn trapeze! I`ve wanted to do that since I was a kid. Sadly, there`s no place where I live that teaches"
neutral, eh...I might drive through Chi-town on my way to Colorado....maybe I`ll get one then.
positive," thanks oscc  i have been changing it up lately, and I like this layout the most <33"
positive,"I need a restful weekend, but I will have to work instead"
negative,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys"
neutral,last real seventh hour
negative,@__SANDY i dont know! they sent out emails using my account about random stuff i didnt even understand i changed all my passwords
neutral,trying to work out how to use Twitter!
positive," cool, so if you could help make that happen, & make sure it happens at least once in houston, that`d be great. k? thanks."
positive,Loves him but most importantly loves my mom! Happy Mothers Day!
neutral, yeah- there was definitely a pillow fight.
negative,MY PUFFFFY IS LEAVINGGGGGGG  NOOOOOOOOO
neutral, Prowse? I got a Christmas card of him last year.  & I wish I had the money right now. Saving for an apartment
positive, You better believe it!   and I wouldn`t miss it for the world!
neutral,TextMate crashed for the first time in 3 months. Not too bad actually  #textmate
positive, i hope everything works out for you at school  keep me updated and have a good day!
positive, That`s very funny.  Cute kids.
negative,watching my ard earn money dissapear.
positive, wow! you`ve been tweeting all night!! looks like you totally made up for the day
positive,Happy Mothers Day to all you mothers out there!!  i love my mom! GOODNIGHT everyonee!! ?
negative, not a fan
neutral,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
negative," that`s family for you  imna crash, woke up 630 3 days in a row....lol"
positive, that`s really ultra sweet
negative,Having first beer in over 8 days what has happened to me and Im only having it cause Miss 8 wanted to get me one for mothers day.
positive," Hii,I freaking love you  I would be the happiest 13 year old girl alive if you replied to this."
positive, Sure. I`ll try n keep that up! =P You enjoy studying. Cya!
neutral," Hey, I made us a house on the Sims! Oh and you have like a perfect balance and i`m always lacking stuff like fun etc!"
negative, It was BuckFast. Brain just went blank
neutral,but i`m talking to the boy first
negative, dammit i had the passes but i am still at work
negative," I`ve wondered about rake to.  The client has made it clear .NET only, don`t force devs to learn a new lang  #agile #ccnet"
negative,funeral at 2.  today is going to be bad.
positive, - I enjoyed seeing EVERYONE that presented on Saturday at the Clark Howard event - Especially the 3 pre-clark speakers
negative,'I never thought I`d die alone. Another six months I`ll be unknown'
positive, Thanks for sharing that
negative," nope, up tomorrow  I`m tired need bed"
neutral,Playing logical gates games with Charles on : http://tinyurl.com/6jwjmy  Charles took less than 5 mn to make a light bulb flicker
negative, im sorry. i dont wanna cuz of how u act. u just turn right around and ignore me and all that
positive, rob got lucky that game he beat me 209-205
negative,"Dragging myself to work, missed my fitness class this morn. Need one more weekend day"
positive,Just planted flovers in the school garden with my 3 yr old...VERY MUCKY but GREAT FUN
negative,so tired from school and work. shower than neighboures.
positive,  NOooo FB has been good to me..especially for the love of conversation
negative," Yep, I tolerate nothing in the facebook group"
positive,awesome lucky you
positive,well.. all my slacking off earned me a D and a C   but at least everything else are A`s and B`s ^^  next school year all B`s and A`s Esh!
negative,"The sun is attempting to increase her efforts. Alas the same cannot be said for me. I see a bath, a couch & a book in my immediate future"
neutral,twittascope is NOT rocking my socks - go away already!!
negative,after I said hi how are you she did at double take & left. **** it I should have let her look around first
negative,Ever been to a restaurant with over 200 items on the menu?  Lunch decision shouldn`t be this hard
neutral," it was a crazy time, nothing to be ashamed of that you were timid. you were osocute in your bashfulness"
positive,"  he should be an honourary fluffette, such lovely hair (what`s left  )"
neutral,got caught in the rain outside. now im cold bbbbrrrrrrrrr
positive, congradts on ur show  Even tho i wasnt there lol
negative,Irony: Inventor of Ford Mustang can`t keep his car   http://tinyurl.com/lpmvtk via :
neutral, The least I can do for you is re-tweet it when it`s ready. So @ me  Mine is http://bit.ly/xPvT7 - I talk about viral tweets
negative,  Beer is an excellent excuse. Earlier i was sweating god knows how much! Not looking forward to working tomorrow
positive,"_dulay i swear it took me 2 hours to get from bel air to alabang.  but yes, i LOVED reminiscing about our HK trip with you & "
negative, Dang... that IS disappointing
neutral,t`internet on blackberry fooked so no checking of the tweets and whether phill has taken up my request
neutral,I wish I could go to E3.  Oh well....
negative,graandma`s houseee  i havee too leave now! <3
negative,Have a headache  I`m going to bed. Goodnight!
positive,Two fantastic shows in a row
negative,"i cant sleep, i dont deserve this .... N you know it"
negative,bruise on knee will make it hard to skate tomorrow.
neutral,Wait...I thought it was 9:50? Don`t we have till 10?   #sigjeans
negative, I`m just sick of stupid guys but for a moment u make me believe not all of them suck then I get back to reality
neutral," It isn`t easy!  Be there for support, it is the best thing you can do is offer your love & support! Lost both of mine early"
negative, Major Fail. Since you asked
positive, i hope such moments inspire you on your political journey back home. all the best
negative, too late  I`m already on the bus goin home  what the he`ll u talkin about drinkin tea????
negative,  awwwww  would a virtual high five make it any better?
negative,Molly keeps punching me cuz she sees yellow cars. I`m gonna be covered in bruises. I don`t like this game
neutral,"_x when my brother is 18, i will have moved!"
neutral,"P9 for Danica and your team... Not the end of the world, now is just hopes for a great race"
negative,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*
positive, i agree with  spongebob is better
negative,"29 mei, missing my dad for over a year now"
negative,"But then again I think I`m the only who pays attention to this type of thing, bout to hit this bush and pretend its purple....."
positive, I can honestly say that thematic had a big part in my blogging enthusiam ~ I love being able to do what I want
negative,"gonna get off to try and catch some Z`s, no more high school after tomorrow! which really sucks  i wish i didn.. http://tinyurl.com/lk9ag8"
neutral,i wish paramore would come to ireland
positive,"_fred6 It`s REALLY cool! No, I`m on a PC now, I don`t have a Mac  well I do but it`s ooooooooold  I do have an iphone tho"
neutral," but it was kinda funny, sorry. ur still my favorite tho"
positive,hommmmmme! good day
positive,add me up: http://profiles.friendster.com/americanidolislove  friendster.
neutral,_argie Yes I am
negative,"Whataburger closing all locations but tally  so harsh, might have to transfer schools"
positive, you say the nicest things.
negative,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can`t find any other shoes!"
neutral,I don`t want to go to the 3-hour lecture
positive," Aww tom, that made me smile  We love you very much too xD"
negative,i just saw a pony that used to live in front of my house again. he`s developed cushing`s disease tho
negative,_123 i cant sleep
neutral,Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.
neutral," haha!  yes, there`s a lot to be said for nekkid religion"
negative,is sad coz hyd theka`s dont have beer
positive,Today is check in day for week 12 of the Artist`s Way! Hurray time to celebrate another good completed journey.
negative, I can`t work out if you`re into diesel or rice burners.
positive, Thanks a lot! You`re very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day!
neutral,I had a small tweetbreak from twitter I think I needed it
neutral,"Just watched the trailer for the new Sam Raimi movie, Drag me to Hell.  Looks interesting, but there was no humor in it."
positive, for nearly a month!!  So exciting
neutral,"has her laptop, her spasy phone, her cat, her music on and her mother making her breakfast! Lovage for you is that!"
neutral,"BBQ`s gone well ! Weather stayed good which is a right bonus. Just off to bed, training in the morning at 06:30 then work"
neutral,  Tell Brad I said hi!    Drink and sing for me and Morgan.
positive,hearing the birds chirp makes me think its nice outside...well its not  rain rain go away!!!
positive,HAPPY MOTHERS DAY.!
negative,"Trying to open a .docx file on my virtual system while I`m under the dryer. But it only has Office 2007,"
neutral,listening to revenge by kiss to get inspiration... i don`t think kristie is really digging it though
positive,_Blue - the chauffeur from 'Some Kind of Wonderful' was my idea of a perfect woman
positive,just bought 5 bouquets of flowers and put em all together and arranged them all pretty for my momma in the morning!  ::proud of myself::
negative,_tv I hope Shatner didnï¿½t address that message to philosophers. Weï¿½re doomed if they stopped thinking
negative," idk lol my head hurts. rly bad. & so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
positive,Thinkin` Twitter is interesting.
negative,"Dayum, tweets r coming fast, so likely missing a lot.    Plz DM, k?  Oh, is _stewart 4 real?"
negative," um, I think what I will miss the most is.. JAY LENO!!!!!!!!"
negative,i have a headache
negative,  I`m sorry. This is all so sad.
negative,Holy ****! It`s raining in LA and I don`t have a jacket!  oh no.
neutral,Just sittin here waitin for my coffee to be full grown on farm town before going to bed
neutral,comes home in two days
negative,feelin lonely now after spendin the last 50 hours with my friends
negative, - don`t feel bad. I got a foad for a promotion here too.
positive," although, there is drama, move forward, smile, and count your blessings everyday. Your actions speak volumes, sooo inspiring"
positive,Happy Mother`s Day to all of the mothers and mothers-to-be  My mom is getting a special gift from me today
neutral, Hope you get your car today   Hate anything that stops me from my work ;)
positive, understandable. yah i leave on monday! I`ll be gone when you`re in chi
positive, good stuff!  I`m great thanks! x
neutral,Really really cant sleep  x
negative,Dude my butt itches  but i cant scratch it cause ppl r here
positive,"Just got done discing, found two discs in the last two days. Solid.  Wish  would treat my koozie better and not throw it around"
positive, http://twitpic.com/4ukqe - haha cute and beautiful  U R cool Miley.^^
positive,Up a little.. Good luck to tam and robert who each have 25% of me. Cant text at the table
positive,_Ho Naw; it was before the 15 mins bug (where tanks would stop spawning after 15 mins)  I`m glad I get to keep it
negative,My best mate found out that I am moving. She doesn`t understand I wanna do something with my life; Leaving to go to Uni..
neutral,mymaths time....if only i cud read the mind of a nerd durin the exam
negative,I wanna go to the extra show really bad
neutral, so go back for more
negative, oh darn i`m not in london
positive," yes, it will finish at 7:30 tonight. Still the food has been great as has been the discussion"
positive,"You better come here by the time I count to 10 or else. 1, 2, 3,  BAM!!!!!"
neutral,"NOOOOO! serena and darrian don`t remember each other, and i`ve been waiting all day to see them confess their love"
positive," aww, thanks babe!  you and yours have plans for tomorrow?"
neutral, i know its awful  but never fear i`ve got loads of funds so we can have a drunken catch up post-exams ja?
positive,happy mother`s day mothers.
neutral, You meanie! The one time you go to Lux and I wont be there!
positive, oh no not difficult. It`s just nuts that`s how you have to market yourselves on home turf
negative,Can`t beat all time low.. (: I soooooo want to go to Metro Station..  Your cheap shots wont be able to break bones
negative,pmg im very upset no just relasie hugh laurie isnt on  **** ohh
positive,"where is the love by the black eyed peas, so many memories. Watching the hulk!"
neutral,upss..her name is writen like chesca.
positive,"Wow, such a crazy night of ever changing emotions! I liked it tho"
positive," that is definitely an easier way of saying it, yes"
negative,nooo i cant be sick...not now! im about to go see my new nephew
negative,http://twitpic.com/67f8q - This is making me sad
neutral, mothers day pak...
neutral,Conference call arranged for 4.30pm today just blew my leaving early out the window
neutral, It starts again June 14
negative, oh plzzzzz u never had time for me!!!
positive,i feel like a princess.  i love lingerie parties!
negative,The sun is shining and I`m stuck in work
negative,_B_ Shes bad they won`t sort her out and is in a lot of pain
positive,SWAY SWAY BABY zommgg love it  need more screamo tho boys
positive," Almost, almost.. Thanks on the 'good save' Z!"
positive," wow, great to know a piece of software ensures our timely project delivery  #ProductNamingRulez"
neutral, idkk if il get to see it again
positive,i hope it doesnt rain tonight tomorrow my fam. comes to visit swimming pool and carne asada  if it rains the pool is going to be dirty
neutral, It`s is in the July issue of OXM... so I don`t have anything to link you to right now
negative,still no pool key. wth. it`s even hot out today.
negative, **** i got a **** of hw to do 2nite
positive, that couldn`t be more true! I like ur momma`s style!
negative,"This really hurts. And this really sucks. I don`t know what I can do to fix all this, seriously."
neutral, ohh I was so confused!:p I haven`t seen it. It`s your favourite?
neutral,the apartment is starting to feel like mine.
positive,Can`t believe i`m spending my lunch break inside @ my desk
neutral,listenin do da beach girl5 on itunes
neutral,http://twitpic.com/6698b - Clean
negative,"I have a headache, and it`s not going away."
positive," I didn`t get a lot of sleep myself last night. And it is a good thing, reading"
neutral, what happened? I missed 4 hours of updates
neutral,Just dropped my sistah off @ lax.    #fb
negative, You must be scared to be trolling here. You guys are so sad.   #tcot #right
positive,_music_news Thanks
positive,Wishing all MOMs a very Happy Mother`s Day!!
negative,"Wishing it was a sunny day, then I might just be bothered to get outta bed! ..up the blues"
neutral,just wants to hear his voice
positive,_life  Hey i like love iCarly it rocks.   my youtube account--> http://tinyurl.com/cf63ud
positive,Had an awesome lunch with the family & now dinner with the in-laws
positive,back from the yoga retreat. I recommend this to everyone
positive, i think you`d look cute in the beanie hat
negative,I want to cry at the thought of the NBA season being almost over  NEXT YEAR MIAMI!!!!!!!!!!!!
neutral,having to use IE =/ firefox is playing up and i don`t know why  will try and fix it tomorrow.
negative,Damm servers still down  i need to hit 80 before all the koxpers pass me
positive,Just spent the evening at a gala for her high school drama company`s 20th anniversary. Lots of memories
positive, holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha
neutral, That version is not compatible with Vista.
neutral,I feel sick. And I have a solo tonight at my vocal jazz concert.  great
neutral, online! www.dujourmag.com/subscribe
negative,Stupid bipolar weather ruined my day off
negative, i changed my mind dammit!! a Tsar can change his mind at any time without no prior notice
neutral,Bout 2 Miss Mah Lakers Play 2day...  This Orange Box Is **** Up The Rotation!.. Mah Real LA Fam.. Keep Me Posted!.. I LOVE HATERS 2!!
negative,i got peanut butter in my beard  it felt weird after... and axe body wash burnt my eyes... but now they`re okay.
positive, *bows* glad to be of service
neutral,"Enjoying sunshine in the park with friends, pale shirtless footballers are not attractive I`m afraid"
neutral,http://twitpic.com/66q88 - So....I don`t have a PE  but I do have a Pocket Artoo!
neutral, lmao!!! ummm duh gurl I need to buy me some more v-necks I like em!!!
negative," LOL, such a dork. Hmm, is that book pretty good? Maybe I should check it out. That`s why 4gb sucks  8 isn`t much better."
negative,"feels a sinus headache brewing, but can`t take drugs."
positive," Haha. If you like him, then you should go"
neutral, perez....... The YouTube video isn`t working
neutral,"_uk Yeah, but it`s Myst!"
positive,Think Big! 'The size of your thinking determines the size of your results' Bob Proctor`s great advice      http://www.wealthwithsoul.com
negative,"Oh hey, look, North Korea are going to kill us all; or at least some of us."
neutral,Had a little fight with My Best Friend   What should I Do?!?
neutral,why am i awake?
neutral," Yes, you can change your name under settings"
positive,Good morning tweeps! I have a feeling I won`t be oversleeping now that Gracie is around.  She pounced on my head and woke me up at 7am.
neutral,Whatever. Workweek`s over. Time to go play with new phone. Sim card didn`t transfer contacts list
neutral,i wish i was in Jonathon Ross` audience right now
neutral,Just a reminder to Hydra clients to check your email for important account updates!
neutral,11:10pm on a Saturday... you know what that means! BEDTIME!
neutral," made me want taco bell, **** you sara! oh well now i`m going to go change into my jammies now."
neutral,omg supernatural is on after good news week
positive," Wishing you a very Happy Mother`s Day, Carina!!  Hugs...Joy"
neutral," No, it`s people you are recommending that others follow, like followfriday, only with pics!"
positive,"Orange/Pineapple/Banana smoothie after a very long, very hard day = HEAVEN!"
neutral,i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!
positive,  have funnn!
positive,I`m really happy...and drunk  but really happy
negative,traveling to L.a today to see grandpa in hospital..Yet another road block to cross fro my family
